Player,Team,League,Pivot_Master,Maestro,Box_to_Box,Age,Nationality,Height,Foot,Market Value,Contract Until,Position,Annual Salary,Release Clause,Diez,Space_Invader,Key_Passer,Creative_Winger,Falso_Nueve,Aerial_Dominator,Lethal_Striker,Valverde_Score
Josh Laurent,Stoke_City,Championship,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Boris Enow,D.C_United,MLS,,,,25.0,Cameroon,"1,80m",left,€1.800.000,"Dec 31, 2027",Central Midfield,€517.155.00,€0,30.0,30.0,,,,,,0.0
Joaquín Pereyra,Minnesota_Utd,MLS,,,,26.0,Argentina,"1,81m",left,€2.500.000,"Dec 31, 2027",Central Midfield,,,30.0,30.0,,,,,,0.0
Jeff Hendrick,Derby_County,Championship,,,,33.0,Ireland,"1,85m",right,€0,"Jun 30, 2025",Central Midfield,,,30.0,30.0,,,,,,0.0
Rida Zouhir,CF_Montréal,MLS,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Beau Leroux,SJ_Earthquakes,MLS,,,,21.0,United States,"1,83m",,€0,"Dec 31, 2025",Central Midfield,€0.00,€0,30.0,30.0,,,,,,0.0
Cruz Medina,SJ_Earthquakes,MLS,,,,18.0,"United States, Mexico","1,75m",right,€0,"Dec 31, 2025",Central Midfield,€0.00,€0,30.0,30.0,,,,,,0.0
Jamie Paterson,Coventry_City,Championship,,,,33.0,"England, Scotland","1,75m",right,€0,"Jun 30, 2025",Attacking Midfield,,,30.0,30.0,,,,,,0.0
Brandon Servania,Toronto_FC,MLS,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Wayne Frederick,Colorado_Rapids,MLS,,,,20.0,"Trinidad and Tobago, United States","1,83m",,€0,"Dec 31, 2026",Central Midfield,€63.024.00,€0,30.0,30.0,,,,,,0.0
Caleb Roberts,Plymouth_Argyle,Championship,,,,19.0,England,-,,€0,"Jun 30, 2028",Attacking Midfield,€123.341.00,€0,30.0,30.0,,,,,,0.0
Michael Baidoo,Plymouth_Argyle,Championship,,,,25.0,Ghana,"1,74m",right,€3.500.000,"Jun 30, 2028",Attacking Midfield,€770.881.00,€0,30.0,30.0,,,,,,0.0
Markus Cimermancic,Toronto_FC,MLS,,,,20.0,"Canada, Slovenia","1,85m",,€0,"Dec 31, 2026",Central Midfield,€0.00,€0,30.0,30.0,,,,,,0.0
Ryan Howley,Coventry_City,Championship,,,,21.0,"Wales, England","1,87m",right,€0,"Jun 30, 2025",Central Midfield,€92.506.00,€0,30.0,30.0,,,,,,0.0
Rubén Ramos,LA_Galaxy,MLS,,,,18.0,"United States, Mexico","1,75m",right,€0,"Dec 31, 2027",Attacking Midfield,€0.00,€0,30.0,30.0,,,,,,0.0
Aaron Ramsey,Burnley,Championship,,,,22.0,England,"1,81m",right,€10.000.000,"Jun 30, 2028",Attacking Midfield,€1.541.762.00,€0,30.0,30.0,,,,,,0.0
Isaiah Parente,LA_Galaxy,MLS,,,,25.0,"United States, Italy","1,75m",right,€0,"Dec 31, 2025",Central Midfield,€63.024.00,€0,30.0,30.0,,,,,,0.0
Marco Reus,LA_Galaxy,MLS,,,,35.0,Germany,"1,80m",right,€2.500.000,"Dec 31, 2026",Attacking Midfield,€847.368.00,€0,30.0,30.0,,,,,,0.0
Pierre Dwomoh,Watford,Championship,,,,20.0,"Belgium, Ghana","1,88m",right,€2.500.000,"Jun 30, 2028",Central Midfield,€462.528.00,€0,30.0,30.0,,,,,,0.0
Alhassan Yusuf,NE_Revolution,MLS,,,,24.0,Nigeria,"1,73m",right,€3.000.000,"Dec 31, 2027",Central Midfield,€706.140.00,€0,30.0,30.0,,,,,,0.0
Isaiah Jones,Nashville_SC,MLS,,,,19.0,"Sierra Leone, United States","1,75m",,€0,"Dec 31, 2027",Central Midfield,€63.024.00,€0,30.0,30.0,,,,,,0.0
Alfie Massey,Millwall,Championship,,,,19.0,England,"1,83m",right,€0,-,Central Midfield,€61.670.00,€0,30.0,30.0,,,,,,0.0
Daniel Kelly,Millwall,Championship,,,,19.0,Scotland,"1,80m",right,€0,-,Central Midfield,€92.506.00,€0,30.0,30.0,,,,,,0.0
Lorent Talla,Queens_Park_Rangers,Championship,,,,20.0,"Kosovo, Albania","1,78m",left,€0,-,Central Midfield,€92.506.00,€0,30.0,30.0,,,,,,0.0
Brooklyn Raines,Houston_Dynamo,MLS,,,,20.0,"United States, Liberia","1,73m",,€0,"Dec 31, 2025",Central Midfield,€88.268.00,€0,30.0,30.0,,,,,,0.0
Scott Twine,Burnley,Championship,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Kasey Palmer,Coventry_City,Championship,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Samuel Justo,Farense,Primeira_Liga,,,,21.0,Portugal,"1,78m",right,€0,"Jun 30, 2025",Central Midfield,€200.000.00,€0,30.0,30.0,,,,,,0.0
Patrick Yazbek,Nashville_SC,MLS,,,,23.0,Australia,"1,83m",right,€2.500.000,"Dec 31, 2027",Central Midfield,€331.003.00,€0,30.0,30.0,,,,,,0.0
Ramón Terrats,Villareal,La_Liga,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Álvaro Aguado,Espanyol,La_Liga,,,,29.0,Spain,"1,75m",right,€2.000.000,"Jun 30, 2025",Central Midfield,€940.000.00,€0,30.0,30.0,,,,,,0.0
Pablo Torre,Barcelona,La_Liga,,,,22.0,Spain,"1,73m",right,€7.500.000,"Jun 30, 2026",Attacking Midfield,€210.000.00,€100.000.000,30.0,30.0,,,,,,0.0
Alberto Risco,Getafe,La_Liga,,,,19.0,Spain,-,,€0,"Jun 30, 2026",Attacking Midfield,€120.000.00,€0,30.0,30.0,,,,,,0.0
Carles Aleñá,Getafe,La_Liga,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Martín Tejón,Valencia,La_Liga,,,,21.0,Spain,"1,65m",right,€0,"Jun 30, 2026",Attacking Midfield,,,30.0,30.0,,,,,,0.0
Roberto López,Leganes,La_Liga,,,,25.0,Spain,"1,79m",left,€1.500.000,"Jun 30, 2027",Attacking Midfield,,,30.0,30.0,,,,,,0.0
Arsen Zakharyan,Real_Sociedad,La_Liga,,,,21.0,Russia,"1,83m",right,€15.000.000,"Jun 30, 2029",Attacking Midfield,€750.000.00,€0,30.0,30.0,,,,,,0.0
Manu Bueno,Sevilla,La_Liga,,,,20.0,Spain,"1,78m",left,€1.500.000,"Jun 30, 2026",Central Midfield,€180.000.00,€0,30.0,30.0,,,,,,0.0
Stanis Idumbo,Sevilla,La_Liga,,,,19.0,"Belgium, DR Congo","1,71m",right,€2.500.000,"Jun 30, 2028",Attacking Midfield,€420.000.00,€0,30.0,30.0,,,,,,0.0
Mateo Flores,Real_Betis,La_Liga,,,,21.0,Spain,"1,78m",left,€1.000.000,"Jun 30, 2029",Central Midfield,€160.000.00,€0,30.0,30.0,,,,,,0.0
Peio Canales,Athletic_Club,La_Liga,,,,20.0,Spain,"1,75m",right,€0,"Jun 30, 2027",Attacking Midfield,,,30.0,30.0,,,,,,0.0
Carlos Alcaraz,Everton,EPL,,,,22.0,Argentina,"1,76m",right,€14.000.000,"Jun 30, 2025",Central Midfield,€1.233.409.00,€0,30.0,30.0,,,,,,0.0
Mason Mount,Manchester_United,EPL,,,,26.0,England,"1,81m",right,€28.000.000,"Jun 30, 2028",Attacking Midfield,,,30.0,30.0,,,,,,0.0
Julio Enciso,Brighton_and_Hove_Albion,EPL,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
James Milner,Brighton_and_Hove_Albion,EPL,,,,39.0,England,"1,75m",right,€1.000.000,"Jun 30, 2025",Central Midfield,€3.700.228.00,€0,30.0,30.0,,,,,,0.0
Diego Gómez,Brighton_and_Hove_Albion,EPL,,,,22.0,Paraguay,"1,85m",right,€13.000.000,-,Central Midfield,€1.541.762.00,€0,30.0,30.0,,,,,,0.0
James Ward-Prowse,Nottingham_Forest,EPL,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Mathis Amougou,Chelsea,EPL,,,,19.0,"France, Cameroon","1,77m",right,€10.000.000,"Jun 30, 2033",Central Midfield,,,30.0,30.0,,,,,,0.0
Kiernan Dewsbury-Hall,Chelsea,EPL,,,,26.0,England,"1,76m",left,€22.000.000,"Jun 30, 2029",Central Midfield,€4.933.637.00,€0,30.0,30.0,,,,,,0.0
Carlos Alcaraz,Southampton,EPL,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Adam Lallana,Southampton,EPL,,,,36.0,England,"1,72m",both,€0,"Jun 30, 2025",Attacking Midfield,€2.775.171.00,€0,30.0,30.0,,,,,,0.0
Justin Smith,Espanyol,La_Liga,,,,22.0,"Canada, France","1,89m",right,€0,"Jun 30, 2026",Central Midfield,€210.000.00,€0,30.0,30.0,,,,,,0.0
Thomas Lemar,Atletico_Madrid,La_Liga,,,,29.0,"France, Guadeloupe","1,71m",left,€5.000.000,"Jun 30, 2027",Attacking Midfield,€3.250.000.00,€0,30.0,30.0,,,,,,0.0
Reda Khadra,Reims,Ligue_1,,,,23.0,Germany,"1,75m",right,€2.500.000,"Jun 30, 2027",Attacking Midfield,€700.000.00,€0,30.0,30.0,,,,,,0.0
Joni Montiel,Rayo_Vallecano,La_Liga,,,,26.0,Spain,"1,73m",left,€0,"Jun 30, 2025",Attacking Midfield,€180.000.00,€0,30.0,30.0,,,,,,0.0
Tidiane Diallo,Strasbourg,Ligue_1,,,,18.0,"France, Senegal","1,76m",right,€0,"Jun 30, 2027",Attacking Midfield,€120.000.00,€0,30.0,30.0,,,,,,0.0
Ben Viadere,Auxerre,Ligue_1,,,,19.0,"France, Réunion","1,76m",right,€0,"Jun 30, 2026",Attacking Midfield,€100.000.00,€0,30.0,30.0,,,,,,0.0
Morgan Sanson,Nice,Ligue_1,,,,30.0,France,"1,80m",right,€5.000.000,"Jun 30, 2027",Central Midfield,€2.600.000.00,€0,30.0,30.0,,,,,,0.0
Carney Chukwuemeka,Dortmund,Bundesliga,,,,21.0,"England, Nigeria","1,88m",right,€15.000.000,"Jun 30, 2025",Central Midfield,€3.110.000.00,€0,30.0,30.0,,,,,,0.0
Mats Pannewig,Bochum,Bundesliga,,,,20.0,Germany,"1,95m",,€0,"Jun 30, 2026",Central Midfield,€120.000.00,€0,30.0,30.0,,,,,,0.0
Johan Manzambi,Freiburg,Bundesliga,,,,19.0,Switzerland,"1,82m",right,€0,"Jun 30, 2028",Central Midfield,€170.000.00,€0,30.0,30.0,,,,,,0.0
Mert Kömür,Augsburg,Bundesliga,,,,19.0,"Germany, Türkiye","1,83m",both,€5.000.000,"Jun 30, 2027",Attacking Midfield,€120.000.00,€0,30.0,30.0,,,,,,0.0
Florian Micheler,Hoffenheim,Bundesliga,,,,19.0,Austria,"1,85m",right,€0,"Jun 30, 2026",Central Midfield,€160.000.00,€0,30.0,30.0,,,,,,0.0
Grischa Prömel,Hoffenheim,Bundesliga,,,,30.0,Germany,"1,84m",right,€4.500.000,"Jun 30, 2026",Central Midfield,€840.000.00,€0,30.0,30.0,,,,,,0.0
Umut Tohumcu,Hoffenheim,Bundesliga,,,,20.0,"Germany, Türkiye","1,75m",right,€7.000.000,"Jun 30, 2028",Central Midfield,€570.000.00,€0,30.0,30.0,,,,,,0.0
Bennit Bröger,Wolfsburg,Bundesliga,,,,18.0,Germany,"1,81m",,€0,"Jun 30, 2025",Attacking Midfield,€120.000.00,€0,30.0,30.0,,,,,,0.0
Lovro Majer,Wolfsburg,Bundesliga,,,,27.0,Croatia,"1,78m",left,€20.000.000,"Jun 30, 2028",Attacking Midfield,€4.720.000.00,€0,30.0,30.0,,,,,,0.0
Aster Vranckx,Wolfsburg,Bundesliga,,,,22.0,"Belgium, DR Congo","1,83m",right,€9.000.000,"Jun 30, 2029",Central Midfield,€3.780.000.00,€0,30.0,30.0,,,,,,0.0
Mahmoud Dahoud,Eintracht_Frankfurt,Bundesliga,,,,29.0,"Syria, Germany","1,78m",right,€5.000.000,"Jun 30, 2026",Central Midfield,€3.200.000.00,€0,30.0,30.0,,,,,,0.0
Florian Neuhaus,Monchengladbach,Bundesliga,,,,28.0,Germany,"1,85m",right,€3.500.000,"Jun 30, 2027",Central Midfield,€4.000.000.00,€0,30.0,30.0,,,,,,0.0
Erik Ahlstrand,St_Pauli,Bundesliga,,,,23.0,Sweden,"1,84m",,€0,-,Central Midfield,€480.000.00,€0,30.0,30.0,,,,,,0.0
Connor Metcalfe,St_Pauli,Bundesliga,,,,25.0,Australia,"1,83m",left,€2.500.000,-,Central Midfield,€570.000.00,€0,30.0,30.0,,,,,,0.0
Robert Wagner,St_Pauli,Bundesliga,,,,21.0,Germany,"1,81m",right,€3.000.000,"Jun 30, 2025",Central Midfield,€140.000.00,€0,30.0,30.0,,,,,,0.0
Viggo Gebel,RB_Leipzig,Bundesliga,,,,17.0,Germany,"1,75m",,€0,-,Attacking Midfield,€190.000.00,€0,30.0,30.0,,,,,,0.0
Xaver Schlager,RB_Leipzig,Bundesliga,,,,27.0,Austria,"1,74m",left,€18.000.000,"Jun 30, 2026",Central Midfield,€4.000.000.00,€0,30.0,30.0,,,,,,0.0
Jonas Hofmann,Bayer_Leverkusen,Bundesliga,,,,32.0,Germany,"1,76m",right,€3.000.000,"Jun 30, 2027",Attacking Midfield,,,30.0,30.0,,,,,,0.0
Lewis Miley,Newcastle_United,EPL,,,,19.0,England,"1,89m",right,€22.000.000,"Jun 30, 2029",Central Midfield,€308.352.00,€0,30.0,30.0,,,,,,0.0
Harvey Elliott,Liverpool,EPL,,,,22.0,England,"1,70m",left,€35.000.000,"Jun 30, 2027",Central Midfield,€2.466.819.00,€0,30.0,30.0,,,,,,0.0
Harrison Reed,Fulham,EPL,,,,30.0,England,"1,81m",right,€7.000.000,"Jun 30, 2027",Central Midfield,€3.083.523.00,€0,30.0,30.0,,,,,,0.0
Tom Cairney,Fulham,EPL,,,,34.0,"Scotland, England","1,85m",left,€2.000.000,"Jun 30, 2025",Central Midfield,€1.850.114.00,€0,30.0,30.0,,,,,,0.0
Matthias Braunöder,Como,Serie_A,,,,23.0,Austria,"1,74m",right,€1.600.000,"Jun 30, 2027",Central Midfield,€460.000.00,€0,30.0,30.0,,,,,,0.0
Hugo Cuenca,Milan,Serie_A,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Kevin Zeroli,Milan,Serie_A,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Warren Bondo,Milan,Serie_A,,,,21.0,"France, DR Congo","1,77m",right,€10.000.000,"Jun 30, 2029",Central Midfield,€1.920.000.00,€0,30.0,30.0,,,,,,0.0
Drissa Camara,Parma,Serie_A,,,,23.0,"Cote d'Ivoire, Italy","1,79m",right,€1.800.000,"Jun 30, 2025",Central Midfield,€170.000.00,€0,30.0,30.0,,,,,,0.0
Alessandro Bianco,Fiorentina,Serie_A,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Cher Ndour,Fiorentina,Serie_A,,,,20.0,"Italy, Senegal","1,90m",both,€5.000.000,"Jun 30, 2029",Central Midfield,€1.110.000.00,€0,30.0,30.0,,,,,,0.0
Nicolò Zaniolo,Fiorentina,Serie_A,,,,25.0,Italy,"1,90m",left,€16.000.000,"Jun 30, 2025",Attacking Midfield,€1.850.000.00,€0,30.0,30.0,,,,,,0.0
David Pejičić,Udinese,Serie_A,,,,17.0,Slovenia,-,right,€1.000.000,"Jun 30, 2027",Attacking Midfield,€460.000.00,€0,30.0,30.0,,,,,,0.0
Simone Pafundi,Udinese,Serie_A,,,,19.0,Italy,"1,66m",left,€6.000.000,"Jun 30, 2026",Attacking Midfield,€460.000.00,€0,30.0,30.0,,,,,,0.0
Luis Hasa,Lecce,Serie_A,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Mohamed Kaba,Lecce,Serie_A,,,,23.0,"France, Guinea","1,85m",right,€2.300.000,"Jun 30, 2027",Central Midfield,€320.000.00,€0,30.0,30.0,,,,,,0.0
Kacper Urbanski,Bologna,Serie_A,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Alphadjo Cissè,Hellas_Verona,Serie_A,,,,18.0,"Italy, Guinea","1,81m",,€1.400.000,-,Attacking Midfield,€110.000.00,€0,30.0,30.0,,,,,,0.0
Abdou Harroui,Hellas_Verona,Serie_A,,,,27.0,"Morocco, Netherlands","1,82m",both,€2.000.000,"Jun 30, 2028",Central Midfield,€770.000.00,€0,30.0,30.0,,,,,,0.0
Antoine Bernede,Hellas_Verona,Serie_A,,,,25.0,"France, Cameroon","1,78m",right,€3.500.000,"Jun 30, 2025",Central Midfield,€610.000.00,€0,30.0,30.0,,,,,,0.0
Viktor Kovalenko,Empoli,Serie_A,,,,29.0,Ukraine,"1,82m",right,€1.000.000,"Jun 30, 2025",Attacking Midfield,,,30.0,30.0,,,,,,0.0
Szymon Żurkowski,Empoli,Serie_A,,,,27.0,Poland,"1,85m",right,€2.500.000,"Jun 30, 2025",Central Midfield,€900.000.00,€0,30.0,30.0,,,,,,0.0
Nicolas Haas,Empoli,Serie_A,,,,29.0,Switzerland,"1,78m",right,€0,"Jun 30, 2025",Central Midfield,€1.670.000.00,€0,30.0,30.0,,,,,,0.0
Daniel Maldini,Atalanta,Serie_A,,,,23.0,"Italy, Venezuela","1,88m",right,€10.000.000,"Jun 30, 2029",Attacking Midfield,€2.040.000.00,€0,30.0,30.0,,,,,,0.0
Nicolò Zaniolo,Atalanta,Serie_A,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Dele Alli,Como,Serie_A,,,,29.0,"England, Nigeria","1,88m",right,€3.500.000,"Jun 30, 2026",Attacking Midfield,€5.560.000.00,€0,30.0,30.0,,,,,,0.0
Giuseppe Mazzaglia,Como,Serie_A,,,,19.0,Italy,"1,80m",right,€0,"Jun 30, 2027",Central Midfield,€170.000.00,€0,30.0,30.0,,,,,,0.0
Naj Razi,Como,Serie_A,,,,18.0,"Ireland, Algeria","1,75m",both,€0,"Jun 30, 2026",Attacking Midfield,€170.000.00,€0,30.0,30.0,,,,,,0.0
Stefano Sensi,Monza,Serie_A,,,,29.0,Italy,"1,68m",right,€1.500.000,"Jun 30, 2025",Central Midfield,€1.850.000.00,€0,30.0,30.0,,,,,,0.0
Massimo Luongo,Ipswich_Town,EPL,,,,32.0,"Australia, Italy","1,76m",right,€0,"Jun 30, 2025",Central Midfield,,,30.0,30.0,,,,,,0.0
Matheus França,Crystal_Palace,EPL,,,,21.0,Brazil,"1,84m",right,€10.000.000,"Jun 30, 2028",Attacking Midfield,,,30.0,30.0,,,,,,0.0
Justin Devenny,Crystal_Palace,EPL,,,,21.0,"Northern Ireland, Scotland","1,84m",left,€3.000.000,"Jun 30, 2027",Central Midfield,,,30.0,30.0,,,,,,0.0
Tommy Doyle,Wolverhampton_Wanderers,EPL,,,,23.0,England,"1,72m",right,€10.000.000,"Jun 30, 2028",Central Midfield,€616.705.00,€0,30.0,30.0,,,,,,0.0
Vasilije Adžić,Juventus,Serie_A,,,,18.0,Montenegro,"1,85m",right,€3.000.000,"Jun 30, 2029",Attacking Midfield,€740.000.00,€0,30.0,30.0,,,,,,0.0
Douglas Luiz,Juventus,Serie_A,,,,26.0,Brazil,"1,77m",right,€38.000.000,"Jun 30, 2029",Central Midfield,€8.330.000.00,€0,30.0,30.0,,,,,,0.0
Toma Bašić,Lazio,Serie_A,,,,28.0,Croatia,"1,90m",left,€1.000.000,"Jun 30, 2026",Central Midfield,€2.050.000.00,€0,30.0,30.0,,,,,,0.0
Gaetano Castrovilli,Lazio,Serie_A,,,,,,,,,,,€1.850.000.00,€0,30.0,30.0,,,,,,0.0
Roberto Gagliardini,Monza,Serie_A,,,,31.0,Italy,"1,88m",right,€2.000.000,"Jun 30, 2025",Central Midfield,€2.780.000.00,€0,30.0,30.0,,,,,,0.0
Kevin Zeroli,Monza,Serie_A,,,,20.0,"Italy, Nigeria","1,87m",right,€3.500.000,"Jun 30, 2025",Central Midfield,€280.000.00,€0,30.0,30.0,,,,,,0.0
Edoardo Bove,Roma,Serie_A,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Samuele Vignato,Monza,Serie_A,,,,21.0,"Italy, Brazil","1,72m",right,€3.500.000,"Jun 30, 2025",Attacking Midfield,€170.000.00,€0,30.0,30.0,,,,,,0.0
Gaetano Castrovilli,Monza,Serie_A,,,,28.0,Italy,"1,87m",right,€3.500.000,"Jun 30, 2025",Central Midfield,€1.850.000.00,€0,30.0,30.0,,,,,,0.0
Kacper Urbanski,Monza,Serie_A,,,,20.0,Poland,"1,83m",right,€7.000.000,"Jun 30, 2025",Central Midfield,€560.000.00,€0,30.0,30.0,,,,,,0.0
Luis Hasa,Napoli,Serie_A,,,,21.0,"Italy, Albania","1,72m",right,€1.000.000,"Jun 30, 2029",Central Midfield,€560.000.00,€0,30.0,30.0,,,,,,0.0
Gianluca Gaetano,Napoli,Serie_A,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Michael Folorunsho,Napoli,Serie_A,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Philip Billing,Napoli,Serie_A,,,,28.0,"Denmark, Nigeria","1,93m",left,€12.000.000,"Jun 30, 2025",Central Midfield,€1.850.000.00,€0,30.0,30.0,,,,,,0.0
Hugo Cuenca,Genoa,Serie_A,,,,20.0,"Paraguay, Spain","1,83m",left,€0,-,Attacking Midfield,€110.000.00,€0,30.0,30.0,,,,,,0.0
Ruslan Malinovskyi,Genoa,Serie_A,,,,32.0,Ukraine,"1,81m",left,€3.500.000,"Jun 30, 2027",Attacking Midfield,€1.280.000.00,€0,30.0,30.0,,,,,,0.0
Ismaïl Bouneb,Le_Havre,Ligue_1,,,,18.0,"France, Algeria","1,82m",right,€0,"Jun 30, 2028",Attacking Midfield,€80.000.00,€0,30.0,30.0,,,,,,0.0
Niklas Schmidt,Toulouse,Ligue_1,,,,27.0,Germany,"1,84m",both,€2.000.000,"Jun 30, 2027",Central Midfield,€570.000.00,€0,30.0,30.0,,,,,,0.0
Cole Mrowka,Columbus_Crew,MLS,,,,19.0,"United States, Poland",-,both,€0,"Dec 31, 2026",Central Midfield,€63.024.00,€0,30.0,30.0,,,,,,0.0
Flavien Tait,Samsunspor,Süper_Lig,,,,32.0,France,"1,76m",right,€0,"Jun 30, 2026",Central Midfield,€1.330.000.00,€0,30.0,30.0,,,,,,0.0
Gökdeniz Gürpüz,Galatasaray,Süper_Lig,,,,19.0,"Türkiye, Germany","1,78m",right,€0,"Jun 30, 2026",Central Midfield,€250.000.00,€0,30.0,30.0,,,,,,0.0
Eyüp Aydın,Galatasaray,Süper_Lig,,,,20.0,"Türkiye, Germany","1,81m",both,€1.000.000,"Jun 30, 2026",Central Midfield,€500.000.00,€0,30.0,30.0,,,,,,0.0
Kerem Demirbay,Galatasaray,Süper_Lig,,,,31.0,"Germany, Türkiye","1,83m",left,€3.000.000,"Jun 30, 2026",Central Midfield,€1.670.000.00,€0,30.0,30.0,,,,,,0.0
Erdem Çalık,Eyüpspor,Süper_Lig,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Hamza Akman,Eyüpspor,Süper_Lig,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Recep Niyaz,Eyüpspor,Süper_Lig,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Dorukhan Toköz,Eyüpspor,Süper_Lig,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Yaman Suakar,Kasımpaşa,Süper_Lig,,,,,,,,,,,€30.000.00,€0,30.0,30.0,,,,,,0.0
Atakan Müjde,Kasımpaşa,Süper_Lig,,,,,,,,,,,€120.000.00,€0,30.0,30.0,,,,,,0.0
Yalçın Kayan,Göztepe,Süper_Lig,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Fahri Ay,Beşiktaş,Süper_Lig,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Salih Uçan,Beşiktaş,Süper_Lig,,,,,,,,,,,,,30.0,30.0,,,,,,0.0
Morten Bjørlo,Konyaspor,Süper_Lig,,,,29.0,Norway,"1,83m",right,€1.000.000,"Jun 30, 2027",Central Midfield,€450.000.00,€0,30.0,30.0,,,,,,0.0
Emmanuel Boateng,Konyaspor,Süper_Lig,,,,27.0,Ghana,"1,75m",right,€0,"Jun 30, 2026",Central Midfield,€400.000.00,€0,30.0,30.0,,,,,,0.0
Robbin Weijenberg,Go_Ahead_Eag,Eredivisie,,,,20.0,Netherlands,"1,80m",right,€0,"Jun 30, 2025",Central Midfield,€90.000.00,€0,30.0,30.0,,,,,,0.0
Søren Tengstedt,Go_Ahead_Eag,Eredivisie,,,,24.0,Denmark,"1,87m",left,€0,"Jun 30, 2027",Attacking Midfield,€220.000.00,€0,30.0,30.0,,,,,,0.0
Youri Regeer,Ajax,Eredivisie,,,,21.0,Netherlands,"1,77m",right,€6.000.000,"Jun 30, 2029",Central Midfield,€780.000.00,€0,30.0,30.0,,,,,,0.0
Teun Gijselhart,Zwolle,Eredivisie,,,,20.0,Netherlands,"1,76m",right,€0,"Jun 30, 2026",Central Midfield,€70.000.00,€0,30.0,30.0,,,,,,0.0
Melle Witteveen,Heerenveen,Eredivisie,,,,21.0,Netherlands,"1,74m",right,€0,"Jun 30, 2025",Attacking Midfield,€90.000.00,€0,30.0,30.0,,,,,,0.0
Hamza el Dahri,Sparta_R'dam,Eredivisie,,,,20.0,"Netherlands, Morocco","1,77m",right,€0,"Jun 30, 2027",Central Midfield,€80.000.00,€0,30.0,30.0,,,,,,0.0
David van der Werff,Groningen,Eredivisie,,,,20.0,Netherlands,"1,80m",right,€0,"Jun 30, 2026",Attacking Midfield,€70.000.00,€0,30.0,30.0,,,,,,0.0
Emre Uzun,Antalyaspor,Süper_Lig,,,,19.0,"Türkiye, Germany","1,79m",left,€0,"Jun 30, 2025",Attacking Midfield,€80.000.00,€0,30.0,30.0,,,,,,0.0
Baran Sarka,Hatayspor,Süper_Lig,,,,23.0,"Türkiye, Netherlands",-,right,€0,"Jun 30, 2027",Attacking Midfield,€150.000.00,€0,30.0,30.0,,,,,,0.0
Miha Zajc,Toulouse,Ligue_1,,,,30.0,Slovenia,"1,78m",right,€1.800.000,"Jun 30, 2025",Central Midfield,€1.820.000.00,€0,30.0,30.0,,,,,,0.0
Ali Yıldız,Hatayspor,Süper_Lig,,,,18.0,Türkiye,-,right,€0,"Jun 30, 2028",Central Midfield,€130.000.00,€0,30.0,30.0,,,,,,0.0
Taha Habroune,Columbus_Crew,MLS,,,,19.0,"United States, Morocco","1,82m",right,€0,"Dec 31, 2027",Central Midfield,€63.024.00,€0,30.0,30.0,,,,,,0.0
Derrick Jones,Columbus_Crew,MLS,,,,28.0,"United States, Ghana","1,90m",right,€0,"Dec 31, 2025",Central Midfield,€286.869.00,€0,30.0,30.0,,,,,,0.0
Micah Burton,Austin,MLS,,,,19.0,"United States, Cambodia","1,72m",right,€0,"Dec 31, 2027",Attacking Midfield,€63.024.00,€0,30.0,30.0,,,,,,0.0
Oğuzhan Aksoy,Sivasspor,Süper_Lig,,,,18.0,Türkiye,-,,€0,"Jun 30, 2027",Attacking Midfield,€50.000.00,€0,30.0,30.0,,,,,,0.0
Eren Altıntaş,Alanyaspor,Süper_Lig,,,,21.0,Türkiye,"1,84m",left,€0,"Jun 30, 2028",Attacking Midfield,€100.000.00,€0,30.0,30.0,,,,,,0.0
Buluthan Bulut,Alanyaspor,Süper_Lig,,,,22.0,Türkiye,"1,75m",right,€0,"Jun 30, 2026",Central Midfield,€150.000.00,€0,30.0,30.0,,,,,,0.0
Enes Keskin,Alanyaspor,Süper_Lig,,,,23.0,Türkiye,"1,85m",right,€0,"Jun 30, 2029",Central Midfield,€350.000.00,€0,30.0,30.0,,,,,,0.0
